,Kernel,Accuracy,Precision (Anomaly),Recall (Anomaly),F1-Score (Anomaly),Precision (Normal),Recall (Normal),F1-Score (Normal)
0,linear,0.9599126810875174,0.9724770642201835,0.9412262156448203,0.9565964761495488,0.9494545454545454,0.9764397905759162,0.9627581120943953
1,poly,0.9819408612820004,0.9813717188823031,0.9801268498942918,0.9807488893590015,0.9824430332461711,0.9835452505609573,0.9829938329284246
2,rbf,0.9785671760269895,0.9804171988080034,0.973784355179704,0.9770895205770047,0.9769516728624535,0.9827973074046372,0.9798657718120806
3,sigmoid,0.8215915856320699,0.8119148936170213,0.8067653276955603,0.8093319194061506,0.8300483451097063,0.8347045624532535,0.8323699421965318
